# domain,name,provider,level
Software Engineering,Oracle Certified Associate Java SE 8 Programmer,Oracle,Beginner
Software Engineering,Oracle Certified Professional Java SE Developer,Oracle,Intermediate
Software Engineering,Meta Back-End Developer Professional Certificate,Coursera (Meta),Beginner
Software Engineering,AWS Certified Developer - Associate,Amazon Web Services,Intermediate
Software Engineering,Spring Professional Certification,Broadcom (VMware),Advanced
Data Science,Google Data Analytics Professional Certificate,Coursera (Google),Beginner
Data Science,IBM Data Science Professional Certificate,Coursera (IBM),Beginner
Data Science,Microsoft Certified: Azure Data Scientist Associate,Microsoft,Intermediate
Data Science,TensorFlow Developer Certificate,Google,Intermediate
Data Science,AWS Certified Machine Learning - Specialty,Amazon Web Services,Advanced
Cybersecurity,CompTIA Security+,CompTIA,Beginner
Cybersecurity,Google Cybersecurity Professional Certificate,Coursera (Google),Beginner
Cybersecurity,Certified Ethical Hacker (CEH),EC-Council,Intermediate
Cybersecurity,CompTIA CySA+,CompTIA,Intermediate
Cybersecurity,Offensive Security Certified Professional (OSCP),OffSec,Advanced
Cloud & DevOps Engineering,AWS Certified Cloud Practitioner,Amazon Web Services,Beginner
Cloud & DevOps Engineering,AWS Certified Solutions Architect - Associate,Amazon Web Services,Intermediate
Cloud & DevOps Engineering,Microsoft Certified: Azure Fundamentals (AZ-900),Microsoft,Beginner
Cloud & DevOps Engineering,Certified Kubernetes Administrator (CKA),CNCF,Intermediate
Cloud & DevOps Engineering,Google Professional Cloud Architect,Google Cloud,Advanced
UI/UX Design,Google UX Design Professional Certificate,Coursera (Google),Beginner
UI/UX Design,Meta Front-End Developer Professional Certificate,Coursera (Meta),Beginner
UI/UX Design,Adobe Certified Professional in Visual Design,Adobe,Intermediate
UI/UX Design,NN/g UX Certification,Nielsen Norman Group,Advanced
Product Management,Google Project Management Professional Certificate,Coursera (Google),Beginner
Product Management,Certified Scrum Product Owner (CSPO),Scrum Alliance,Intermediate
Product Management,Professional Scrum Product Owner I (PSPO I),Scrum.org,Intermediate
Product Management,Product Management Certificate,Pragmatic Institute,Advanced
